姓名
李俊德
溫清光
王偉勇
林正章
陳昌明
蕭瓊瑞
郭炳林
林以行
黃景川
張俊彥
陳 雲
賴明德
許清芳
張克勤
劉清泉
林錫璋
楊倍昌
張憲彰
蔡瑞真
李德河
謝文真
朱銘祥
蔡森田
周振陽
劉瑞祥
陳志勇
謝正倫
黃清哲
蘇五洲
方深毅
黃宗立
孫永年
方銘川
利德江
李驊登
賴新一
楊毓民
郭保麟
許瑞榮
高雅慧
施德玉
倪勝火
蕭世文
徐畢卿
温敏杰
蔡志方
蘇慧貞
葉才明
郭乃文
