姓名
王廷山
吳添壽
李克讓
黃定加
崔永晉
邱澄彬
黃崑巖
張傳林
郭金棟
邱輝煌
劉長齡
馬哲儒
周有禮
郭人鳳
王春山
謝勝己
趙健明
吳 京院士
許茂雄
陳朝光
陳祈男
閻振瀛
李建二
歐善惠
徐德修
廖揚清
周澤川
葉茂榮
翁鴻山
孫全文
施陳美津
蔡長泰
楊明宗
顏富士
楊友任
鄭幸雄
方一匡
賴明亮
江建俊
王三慶
高家俊
趙可式
傅永貴
莊哲男
林瑞明
吳順益
張高評
陳志鴻
葉宣顯
蔡景仁
楊玉姿
陳家榮
林素貞
黃煌煇
傅朝卿
黃金鼎
王覺寬
吳天賞
劉濱達
林其和
姚維仁
徐明福
蔡文達
吳豐光
李榮顯
張有恒
張素瓊
陳景文
張祖恩
游保杉
薛尊仁
吳昭良
蕭璦莉
張錦裕
李森墉
張珏庭
林啓禎
